bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
19.12.2013	9	9	5	4
06.01.2014	4	4	0	0
12.12.2013	6	7	4	3
19.11.2013	6	6	3	3
25.10.2013	8	3	3	0
03.10.2013	6	2	2	0
09.09.2013	11	11	7	4
19.08.2013	4	4	0	0
05.08.2013	9	9	4	5
28.06.2013	7	3	3	0
19.12.2013	5	5	0	0
19.11.2013	9	5	5	0
17.10.2013	8	15	10	5
28.11.2013	7	7	3	4
19.04.2014	6	6	0	6
06.03.2014	11	8	0	8
15.05.2014	6	6	2	4
06.03.2014	6	5	1	4
14.04.2014	12	12	8	4
15.05.2014	5	4	2	2
25.04.2014	6	6	0	6
